 Year,Rainfall,Humidity,Min Temperature,Max Temperature,Moisture level,Location,Min Ph,Max Ph,NP,Moderate temperature,Moderate,Moderate rainfall,Crop,Investment,Total Obtained,Profit,Yield In Quintal,Cost per quintal,Area,Per Acre,CProfit,Production,Seed cost per KG,Seeds Per hectare,Seeds Cost,Fetilizers per kg,Fetilizers per hectare,Fertilizers cost,Harvest per Acre,Others,rain
2000,1035.4,0.55,18,29,13,Belgaum,7,7,120:60,28,0.55,25-75 cms,Maize,226162.01,2366000,12204,676,1750,Chikkodi,71613.16,6200,321,13.54,1514,20499.56,45.3,52,2355.6,37608,11150,1035.4
2000,1035.4,0.55,18,29,15,Belgaum,7,7,120:60,28,0.55,25-75 cms,Maize,,,20085,718,,Bailahongal ,77840.49,4258,197,13.77,1487,20475.99,45.47,50,2273.5,44176,10915,1035.4
2000,1035.4,0.55,18,29,15,Belgaum,7,7,120:60,28,0.55,25-75 cms,Maize,,,20420,669,,Hukkeri,76708.36,1746,158,13.54,1461,19781.94,45.58,49,2233.42,44438,10255,1035.4
2001,1105.2,0.55,18,26,15,Belgaum,7,7,120:60,28,0.55,25-75 cms,Maize,222011.13,2135200,12204,680,1570,Chikkodi,73338.58,6200,327,13.83,1479,20454.57,45.49,49,2229.01,38891,11764,1105.2
2001,1105.2,0.55,18,26,14,Belgaum,6,7,120:60,28,0.55,25-75 cms,Maize,,,20040,608,,Bailahongal ,76695.96,4258,174,13.67,1519,20764.73,45.27,49,2218.23,40594,13119,1105.2
2001,1105.2,0.55,18,26,15,Belgaum,7,7,120:60,28,0.55,25-75 cms,Maize,,,20564,672,,Hukkeri,71976.59,1746,179,13.83,1454,20108.82,45.73,49,2240.77,38185,11442,1105.2
2002,981.9,0.55,18,27,15,Belgaum,7,7,120:60,28,0.55,25-75 cms,Maize,222621.66,2088600,12280,708,1475,Chikkodi,77190.31,6434,328,13.78,1503,20711.34,45.47,51,2318.97,44067,10093,981.9
2002,981.9,0.55,18,27,14,Belgaum,6,7,120:60,28,0.55,25-75 cms,Maize,,,20450,707,,Bailahongal ,72555.26,4213,186,13.62,1499,20416.38,45.31,48,2174.88,37017,12947,981.9
2002,981.9,0.55,18,27,15,Belgaum,6,7,120:60,28,0.55,25-75 cms,Maize,,,20166,659,,Hukkeri,72876.09,1633,194,13.79,1467,20229.93,45.16,51,2303.16,36670,13673,981.9
2003,1243.6,0.55,18,28,13,Belgaum,7,7,120:60,28,0.55,25-75 cms,Maize,227054.53,1990710,12950,657,1515,Chikkodi,69924.67,6853,321,13.85,1465,20290.25,45.58,49,2233.42,36087,11314,1243.6
2003,1243.6,0.55,18,28,14,Belgaum,7,7,120:60,28,0.55,25-75 cms,Maize,,,20558,643,,Bailahongal ,77576.72,4755,193,13.76,1470,20227.2,45.74,48,2195.52,44245,10909,1243.6
2003,1243.6,0.55,18,28,15,Belgaum,7,7,120:60,28,0.55,25-75 cms,Maize,,,20082,692,,Hukkeri,79553.14,1342,143,13.7,1501,20563.7,45.78,48,2197.44,42684,14108,1243.6
2004,1080.5,0.55,18,27,14,Belgaum,7,7,120:60,28,0.55,25-75 cms,Maize,225429.96,2019000,13399,673,1500,Chikkodi,76425.6,6752,326,13.56,1510,20475.6,45.42,50,2271,40301,13378,1080.5
2004,1080.5,0.55,18,27,14,Belgaum,6,7,120:60,28,0.55,25-75 cms,Maize,,,20558,668,,Bailahongal ,76297.07,4974,194,13.84,1502,20787.68,45.11,49,2210.39,41920,11379,1080.5
2004,1080.5,0.55,18,27,14,Belgaum,7,7,120:60,28,0.55,25-75 cms,Maize,,,19896,601,,Hukkeri,72707.29,1673,153,13.78,1514,20862.92,45.71,47,2148.37,39222,10474,1080.5
2005,1208.3,0.55,18,27,14,Belgaum,7,7,120:60,28,0.55,25-75 cms,Maize,224369.92,1935200,13585,656,1475,Chikkodi,74456.16,6964,323,13.72,1512,20744.64,45.52,51,2321.52,39436,11954,1208.3
2005,1208.3,0.55,18,27,13,Belgaum,7,7,120:60,28,0.55,25-75 cms,Maize,,,19900,620,,Bailahongal ,75510.78,4984,184,13.86,1488,20623.68,45.1,51,2300.1,38070,14517,1208.3
2005,1208.3,0.55,18,27,13,Belgaum,7,7,120:60,28,0.55,25-75 cms,Maize,,,20452,614,,Hukkeri,74402.98,1637,149,13.69,1487,20357.03,45.55,49,2231.95,37112,14702,1208.3
2006,1161.6,0.55,18,27,14,Belgaum,6,7,120:60,28,0.55,25-75 cms,Maize,223596.02,2249996,13070,751,1498,Chikkodi,70732.44,6964,398,13.68,1498,20492.64,45.2,49,2214.8,37403,10622,1161.6
2006,1161.6,0.55,18,27,13,Belgaum,6,7,120:60,28,0.55,25-75 cms,Maize,,,19914,676,,Bailahongal ,75133.3,4543,197,13.7,1475,20207.5,45.65,52,2373.8,40771,11781,1161.6
2006,1161.6,0.55,18,27,14,Belgaum,7,7,120:60,28,0.55,25-75 cms,Maize,,,20526,643,,Hukkeri,77730.28,1563,156,13.8,1491,20575.8,45.76,48,2196.48,42282,12676,1161.6
2007,1179.3,0.55,18,27,15,Belgaum,6,7,120:60,28,0.55,25-75 cms,Maize,232831.96,2309500,13499,745,1550,Chikkodi,74922.86,6974,392,13.53,1478,19997.34,45.76,52,2379.52,40739,11807,1179.3
2007,1179.3,0.55,18,27,15,Belgaum,7,7,120:60,28,0.55,25-75 cms,Maize,,,20561,707,,Bailahongal ,79042.1,4583,197,13.82,1455,20108.1,45.46,50,2273,42916,13745,1179.3
2007,1179.3,0.55,18,27,15,Belgaum,7,7,120:60,28,0.55,25-75 cms,Maize,,,20467,658,,Hukkeri,78867,1942,156,13.81,1450,20024.5,46.37,50,2318.5,42919,13605,1179.3
2008,1118,0.55,18,27,15,Belgaum,7,7,120:60,28,0.55,25-75 cms,Maize,232129.36,2534000,12705,724,1750,Chikkodi,78294.76,6876,395,14.67,1498,21975.66,46.3,47,2176.1,43370,10773,1118
2008,1118,0.55,18,27,13,Belgaum,6,7,120:60,28,0.55,25-75 cms,Maize,,,20548,590,,Bailahongal ,72398.6,4345,187,14.77,1475,21785.75,46.55,47,2187.85,38259,10166,1118
2008,1118,0.55,18,27,14,Belgaum,6,7,120:60,28,0.55,25-75 cms,Maize,,,20071,645,,Hukkeri,81436,1484,142,14.66,1486,21784.76,46.38,48,2226.24,43009,14416,1118
2009,953.7,0.55,18,27,13,Belgaum,6,7,120:60,28,0.55,25-75 cms,Maize,222172.4,2214300,12587,726,1525,Chikkodi,75914.93,6456,395,14.84,1475,21889,46.57,49,2281.93,40753,10991,953.7
2009,953.7,0.55,18,27,13,Belgaum,6,7,120:60,28,0.55,25-75 cms,Maize,,,20453,679,,Bailahongal ,74583.59,4144,174,14.79,1453,21489.87,46.39,48,2226.72,36555,14312,953.7
2009,953.7,0.55,18,27,15,Belgaum,7,7,120:60,28,0.55,25-75 cms,Maize,,,20398,661,,Hukkeri,71673.88,1987,157,14.88,1464,21784.32,46.53,52,2419.56,37054,10416,953.7
2010,1215.5,0.55,18,27,14,Belgaum,6,7,120:60,28,0.55,25-75 cms,Maize,233333.32,2088000,13228,720,1450,Chikkodi,77470.97,6846,391,14.69,1471,21608.99,46.34,47,2177.98,39370,14314,1215.5
2010,1215.5,0.55,18,27,13,Belgaum,6,7,120:60,28,0.55,25-75 cms,Maize,,,20391,708,,Bailahongal ,81503.2,4946,183,14.54,1488,21635.52,46.44,47,2182.68,44074,13611,1215.5
2010,1215.5,0.55,18,27,13,Belgaum,6,7,120:60,28,0.55,25-75 cms,Maize,,,19922,717,,Hukkeri,74359.15,1436,146,14.83,1457,21607.31,46.84,51,2388.84,37093,13270,1215.5
2011,1116.3,0.55,18,27,14,Belgaum,6,7,120:60,28,0.55,25-75 cms,Maize,228781.83,2222240,13086,731,1520,Chikkodi,79213.01,6849,398,14.45,1483,21429.35,46.78,47,2198.66,43374,12211,1116.3
2011,1116.3,0.55,18,27,13,Belgaum,7,7,120:60,28,0.55,25-75 cms,Maize,,,19898,637,,Bailahongal ,78085.5,4643,182,14.56,1500,21840,46.25,50,2312.5,39874,14059,1116.3
2011,1116.3,0.55,18,27,15,Belgaum,7,7,120:60,28,0.55,25-75 cms,Maize,,,20302,621,,Hukkeri,71483.32,1594,151,14.86,1458,21665.88,46.44,51,2368.44,37145,10304,1116.3
2012,1054.7,0.55,18,27,15,Belgaum,6,7,120:60,28,0.55,25-75 cms,Maize,243357.82,2178570,13134,719,1515,Chikkodi,82468.54,6587,399,14.46,1516,21921.36,46.82,49,2294.18,43922,14331,1054.7
2012,1054.7,0.55,18,27,13,Belgaum,6,7,120:60,28,0.55,25-75 cms,Maize,,,20218,695,,Bailahongal ,78697.57,4863,174,14.76,1486,21933.36,46.43,47,2182.21,41346,13236,1054.7
2012,1054.7,0.55,18,27,13,Belgaum,6,7,120:60,28,0.55,25-75 cms,Maize,,,20297,636,,Hukkeri,82191.71,1684,146,14.85,1462,21710.7,46.51,51,2372.01,44953,13156,1054.7
2013,1092.5,0.55,18,27,13,Belgaum,7,7,120:60,28,0.55,25-75 cms,Maize,229903.04,2315250,13381,735,1575,Chikkodi,78636.64,6765,394,15.6,1454,22682.4,47.76,49,2340.24,41296,12318,1092.5
2013,1092.5,0.55,18,27,13,Belgaum,6,7,120:60,28,0.55,25-75 cms,Maize,,,20351,721,,Bailahongal ,75156.98,4863,183,15.55,1494,23231.7,47.39,52,2464.28,38009,11452,1092.5
2013,1092.5,0.55,18,27,15,Belgaum,6,7,120:60,28,0.55,25-75 cms,Maize,,,19899,594,,Hukkeri,76109.42,1753,158,15.62,1467,22914.54,47.31,48,2270.88,39503,11421,1092.5
2014,1045.2,0.55,18,27,14,Belgaum,6,7,120:60,28,0.55,25-75 cms,Maize,230604.58,2300800,12946,719,1600,Chikkodi,74486.46,6846,397,15.78,1509,23812.02,47.78,48,2293.44,37581,10800,1045.2
2014,1045.2,0.55,18,27,15,Belgaum,6,7,120:60,28,0.55,25-75 cms,Maize,,,20521,667,,Bailahongal ,81949.2,4347,174,15.52,1469,22798.88,47.16,52,2452.32,43222,13476,1045.2
2014,1045.2,0.55,18,27,15,Belgaum,7,7,120:60,28,0.55,25-75 cms,Maize,,,20555,636,,Hukkeri,74168.92,1753,148,15.68,1457,22845.76,47.83,52,2487.16,38266,10570,1045.2
2015,1118,0.55,18,27,13,Belgaum,6,7,120:60,28,0.55,25-75 cms,Maize,234374.07,2454900,13180,735,1670,Chikkodi,81323.58,6453,393,15.45,1514,23391.3,48.39,52,2516.28,42209,13207,1118
2015,1118,0.55,18,27,14,Belgaum,6,7,120:60,28,0.55,25-75 cms,Maize,,,20493,590,,Bailahongal ,77378.72,4864,185,15.52,1500,23280,48.39,48,2322.72,37269,14507,1118
2015,1118,0.55,18,27,13,Belgaum,6,7,120:60,28,0.55,25-75 cms,Maize,,,19980,712,,Hukkeri,75671.77,1863,157,15.52,1491,23140.32,48.35,47,2272.45,38614,11645,1118
2016,953.7,0.55,18,27,15,Belgaum,6,7,120:60,28,0.55,25-75 cms,Maize,238438.39,2295960,12771,722,1590,Chikkodi,82130.95,6364,397,16.56,1466,24276.96,48.17,47,2263.99,42395,13195,953.7
2016,953.7,0.55,18,27,14,Belgaum,7,7,120:60,28,0.55,25-75 cms,Maize,,,19984,620,,Bailahongal ,77993.95,4843,178,16.6,1490,24734,48.85,47,2295.95,37544,13420,953.7
2016,953.7,0.55,18,27,15,Belgaum,6,7,120:60,28,0.55,25-75 cms,Maize,,,20279,650,,Hukkeri,78313.49,1564,147,16.59,1485,24636.15,48.66,49,2384.34,41231,10062,953.7
2017,1215.5,0.55,18,27,15,Belgaum,6,7,120:60,28,0.55,25-75 cms,Maize,242208.25,2378160,12481,734,1620,Chikkodi,84705.83,6764,393,16.53,1453,24018.09,49.74,51,2536.74,44139,14012,1215.5
2017,1215.5,0.55,18,27,14,Belgaum,6,7,120:60,28,0.55,25-75 cms,Maize,,,19962,655,,Bailahongal ,80481.7,4453,184,16.85,1502,25308.7,49.68,50,2484,42172,10517,1215.5
2017,1215.5,0.55,18,27,13,Belgaum,6,7,120:60,28,0.55,25-75 cms,Maize,,,20666,650,,Hukkeri,77020.72,1264,157,16.72,1496,25013.12,49.7,48,2385.6,37998,11624,1215.5
2018,1116.3,0.55,18,27,14,Belgaum,7,7,120:60,28,0.55,25-75 cms,Maize,235214.14,2372700,12785,719,1650,Chikkodi,78986.54,6674,398,16.54,1463,24198.02,50.48,49,2473.52,39486,12829,1116.3
2018,1116.3,0.55,18,27,15,Belgaum,7,7,120:60,28,0.55,25-75 cms,Maize,,,20599,586,,Bailahongal ,78766.76,4365,173,16.78,1492,25035.76,50.1,50,2505,37364,13862,1116.3
2018,1116.3,0.55,18,27,15,Belgaum,6,7,120:60,28,0.55,25-75 cms,Maize,,,20538,612,,Hukkeri,77460.84,1746,148,16.48,1385,22824.8,50.77,52,2640.04,41839,10157,1116.3
2000,1180,0.23,27,34,31,Belgaum,6,7,100:150,30.5,0.23,30-65 cms,Jowar,1651,8132826,36347,2463,1651,Chikkodi,11777,16565,767,15.24,1230,18745.2,56,49,2744,40038,13265,1180
2000,1049,0.23,27,34,32,Belgaum,7,7,100:150,30.5,0.23,30-65 cms,Jowar,1652,,39888,584,,Khanapur,13773,16887,871,15.42,1317,20308.14,69,47,3243,40650,13317,1049
2000,1151,0.23,27,34,30,Belgaum,6,7,100:150,30.5,0.23,30-65 cms,Jowar,1652,,39899,689,,Raybag ,10797,16980,825,18.29,1235,22588.15,61,54,3294,37553,11313,1151
2000,762,0.23,27,34,30,Bidar,6,7,100:150,30.5,0.23,30-65 cms,Jowar,1652,7632240,39910,2310,1652,Humnabad,15318,16568,796,16.58,1545,25616.1,65,51,3315,34362,10399,762
2000,813,0.23,27,34,32,Bidar,6,7,100:150,30.5,0.23,30-65 cms,Jowar,1653,,38576,672,,Aurad,13784,17043,768,15.41,1452,22375.32,55,54,2970,41742,10414,813
2000,733,0.23,27,34,28,Bidar,8,7,100:150,30.5,0.23,30-65 cms,Jowar,1653,,39484,591,,Chitgoppa,10808,16703,746,15.66,1470,23020.2,72,52,3744,43315,11560,733
2000,518,0.23,27,34,28,Bijapur,6,7,100:150,30.5,0.23,30-65 cms,Jowar,1653,7276506,43463,2201,1653,Sindgi,13984,16993,704,18.15,1513,27460.95,56,52,2912,41254,12586,518
2000,535,0.23,27,34,32,Bijapur,8,7,100:150,30.5,0.23,30-65 cms,Jowar,1654,,43103,580,,Muddebihal,14692,16674,713,17.39,1249,21720.11,57,48,2736,38928,12853,535
2000,532,0.23,27,34,27,Bijapur,8,7,100:150,30.5,0.23,30-65 cms,Jowar,1654,,43950,581,,Indi,14787,16955,784,17.48,1271,22217.08,61,47,2867,38443,11436,532
2000,659,0.23,27,34,30,Chitradurga,7,7,100:150,30.5,0.23,30-65 cms,Jowar,1654,7310680,41902,2210,1654,Holalkere,13624,17166,702,18.4,1244,22889.6,68,46,3128,41214,13692,659
2000,645,0.23,27,34,29,Chitradurga,7,7,100:150,30.5,0.23,30-65 cms,Jowar,1655,,41428,662,,Hosadurga,15539,16834,801,18.53,1549,28702.97,70,53,3710,43499,13074,645
2000,631,0.23,27,34,32,Chitradurga,7,7,100:150,30.5,0.23,30-65 cms,Jowar,1655,,40384,607,,Hiriyur,12739,17007,707,17.14,1483,25418.62,72,54,3888,37546,12532,631
2000,854,0.23,27,34,30,Dharwad,7,7,100:150,30.5,0.23,30-65 cms,Jowar,1655,7887730,42894,2383,1655,Annigeri,13150,16807,794,18.17,1268,23039.56,57,53,3021,33386,12347,854
2000,895,0.23,27,34,32,Dharwad,8,7,100:150,30.5,0.23,30-65 cms,Jowar,1656,,41237,682,,Kundgol,14495,17026,858,15.14,1462,22134.68,61,52,3172,37472,11762,895
2000,868,0.23,27,34,30,Dharwad,6,7,100:150,30.5,0.23,30-65 cms,Jowar,1656,,39851,626,,Alnavar,15249,17046,731,17.66,1551,27390.66,60,48,2880,35814,13618,868
2000,571,0.23,27,34,32,Gulbarga,6,7,100:150,30.5,0.23,30-65 cms,Jowar,1656,7779888,39781,2349,1656,Chittapur,11493,17063,747,16.41,1567,25714.47,60,53,3180,47993,11255,571
2000,744,0.23,27,34,29,Gulbarga,6,7,100:150,30.5,0.23,30-65 cms,Jowar,1657,,43465,684,,Sedam,13109,16342,753,18.44,1574,29024.56,69,49,3381,47495,10711,744
2000,578,0.23,27,34,29,Gulbarga,7,7,100:150,30.5,0.23,30-65 cms,Jowar,1657,,44585,677,,Shahapur,15179,17103,849,15.52,1401,21743.52,72,52,3744,46296,12608,578
2000,647,0.23,27,34,30,Raichur,7,7,100:150,30.5,0.23,30-65 cms,Jowar,1657,7675224,40986,2316,1657,Devadurga,15177,16614,676,16.35,1377,22513.95,61,53,3233,40509,10987,647
2000,561,0.23,27,34,28,Raichur,7,7,100:150,30.5,0.23,30-65 cms,Jowar,1658,,38583,604,,Sindhanur,14229,16978,815,15.34,1411,21644.74,71,51,3621,41742,11904,561
2000,591,0.23,27,34,29,Raichur,6,7,100:150,30.5,0.23,30-65 cms,Jowar,1658,,35629,703,,Maski,11580,16450,825,15.17,1494,22663.98,71,45,3195,41186,13420,591
2001,1067,0.23,27,34,32,Belgaum,8,7,100:150,30.5,0.23,30-65 cms,Jowar,1658,7941820,38648,2395,1658,Chikkodi,12774,16942,837,15.52,1399,21712.48,60,55,3300,36258,10192,1067
2001,1163,0.23,27,34,27,Belgaum,7,7,100:150,30.5,0.23,30-65 cms,Jowar,1659,,37492,619,,Khanapur,11275,16928,717,16.67,1304,21737.68,59,49,2891,35348,10555,1163
2001,1078,0.23,27,34,30,Belgaum,8,7,100:150,30.5,0.23,30-65 cms,Jowar,1659,,40824,690,,Raybag ,14599,16412,841,15.29,1595,24387.55,62,52,3224,34790,12795,1078
2001,844,0.23,27,34,31,Bidar,7,7,100:150,30.5,0.23,30-65 cms,Jowar,1659,7571676,37086,2282,1659,Humnabad,11618,16829,797,17.34,1417,24570.78,69,53,3657,43832,10352,844
2001,774,0.23,27,34,28,Bidar,7,7,100:150,30.5,0.23,30-65 cms,Jowar,1660,,37224,605,,Aurad,14607,17028,697,16.18,1325,21438.5,58,50,2900,42251,12881,774
2001,657,0.23,27,34,28,Bidar,6,7,100:150,30.5,0.23,30-65 cms,Jowar,1660,,35523,605,,Chitgoppa,10861,16316,788,18.61,1587,29534.07,58,45,2610,36443,13333,657
2001,532,0.23,27,34,27,Bijapur,8,7,100:150,30.5,0.23,30-65 cms,Jowar,1660,7184480,39755,2164,1660,Sindgi,11756,16784,708,18.75,1362,25537.5,75,49,3675,45990,13471,532
2001,503,0.23,27,34,32,Bijapur,7,7,100:150,30.5,0.23,30-65 cms,Jowar,1661,,40880,629,,Muddebihal,12906,16452,710,17.35,1482,25712.7,66,50,3300,37017,11039,503
